Serviço Iniciado - 2022-08-04 17:23:43,747 - INFO 
O0 - 2022-08-04 17:24:27,190 - INFO 
O1 - 2022-08-04 17:24:27,190 - INFO 
Status - 2022-08-04 17:24:28,202 - INFO 
I0 - 2022-08-04 17:24:28,202 - INFO 
I1 - 2022-08-04 17:24:28,202 - INFO 
O0 - 2022-08-04 17:24:28,202 - INFO 
O1 - 2022-08-04 17:24:28,202 - INFO 
Status - 2022-08-04 17:24:29,211 - INFO 
I0 - 2022-08-04 17:24:29,211 - INFO 
I1 - 2022-08-04 17:24:29,212 - INFO 
O0 - 2022-08-04 17:24:29,212 - INFO 
O1 - 2022-08-04 17:24:29,212 - INFO 
Status - 2022-08-04 17:24:30,221 - INFO 
I0 - 2022-08-04 17:24:30,221 - INFO 
I1 - 2022-08-04 17:24:30,221 - INFO 
O0 - 2022-08-04 17:24:30,221 - INFO 
O1 - 2022-08-04 17:24:30,221 - INFO 
Status - 2022-08-04 17:24:31,235 - INFO 
I0 - 2022-08-04 17:24:31,236 - INFO 
I1 - 2022-08-04 17:24:31,236 - INFO 
O0 - 2022-08-04 17:24:31,236 - INFO 
O1 - 2022-08-04 17:24:31,236 - INFO 
Status - 2022-08-04 17:24:32,246 - INFO 
I0 - 2022-08-04 17:24:32,246 - INFO 
I1 - 2022-08-04 17:24:32,246 - INFO 
O0 - 2022-08-04 17:24:32,246 - INFO 
O1 - 2022-08-04 17:24:32,247 - INFO 
Status - 2022-08-04 17:24:33,259 - INFO 
I0 - 2022-08-04 17:24:33,259 - INFO 
I1 - 2022-08-04 17:24:33,259 - INFO 
O0 - 2022-08-04 17:24:33,259 - INFO 
O1 - 2022-08-04 17:24:33,259 - INFO 
Status - 2022-08-04 17:24:34,269 - INFO 
I0 - 2022-08-04 17:24:34,269 - INFO 
I1 - 2022-08-04 17:24:34,269 - INFO 
O0 - 2022-08-04 17:24:34,269 - INFO 
O1 - 2022-08-04 17:24:34,269 - INFO 
Status - 2022-08-04 17:24:35,283 - INFO 
I0 - 2022-08-04 17:24:35,283 - INFO 
I1 - 2022-08-04 17:24:35,283 - INFO 
O0 - 2022-08-04 17:24:35,284 - INFO 
O1 - 2022-08-04 17:24:35,284 - INFO 
Status - 2022-08-04 17:24:36,296 - INFO 
I0 - 2022-08-04 17:24:36,296 - INFO 
I1 - 2022-08-04 17:24:36,297 - INFO 
O0 - 2022-08-04 17:24:36,297 - INFO 
O1 - 2022-08-04 17:24:36,297 - INFO 
Status - 2022-08-04 17:24:37,311 - INFO 
I0 - 2022-08-04 17:24:37,311 - INFO 
I1 - 2022-08-04 17:24:37,312 - INFO 
O0 - 2022-08-04 17:24:37,312 - INFO 
O1 - 2022-08-04 17:24:37,312 - INFO 
Status - 2022-08-04 17:24:38,314 - INFO 
I0 - 2022-08-04 17:24:38,314 - INFO 
I1 - 2022-08-04 17:24:38,314 - INFO 
O0 - 2022-08-04 17:24:38,314 - INFO 
O1 - 2022-08-04 17:24:38,314 - INFO 
Status - 2022-08-04 17:24:39,327 - INFO 
I0 - 2022-08-04 17:24:39,328 - INFO 
I1 - 2022-08-04 17:24:39,328 - INFO 
O0 - 2022-08-04 17:24:39,328 - INFO 
O1 - 2022-08-04 17:24:39,328 - INFO 
Status - 2022-08-04 17:24:40,338 - INFO 
I0 - 2022-08-04 17:24:40,338 - INFO 
I1 - 2022-08-04 17:24:40,338 - INFO 
O0 - 2022-08-04 17:24:40,338 - INFO 
O1 - 2022-08-04 17:24:40,338 - INFO 
Status - 2022-08-04 17:24:41,350 - INFO 
I0 - 2022-08-04 17:24:41,351 - INFO 
I1 - 2022-08-04 17:24:41,351 - INFO 
O0 - 2022-08-04 17:24:41,351 - INFO 
O1 - 2022-08-04 17:24:41,351 - INFO 
Status - 2022-08-04 17:24:42,365 - INFO 
I0 - 2022-08-04 17:24:42,365 - INFO 
I1 - 2022-08-04 17:24:42,365 - INFO 
O0 - 2022-08-04 17:24:42,365 - INFO 
O1 - 2022-08-04 17:24:42,365 - INFO 
Status - 2022-08-04 17:24:43,378 - INFO 
I0 - 2022-08-04 17:24:43,379 - INFO 
I1 - 2022-08-04 17:24:43,379 - INFO 
O0 - 2022-08-04 17:24:43,379 - INFO 
O1 - 2022-08-04 17:24:43,379 - INFO 
Status - 2022-08-04 17:24:44,386 - INFO 
I0 - 2022-08-04 17:24:44,386 - INFO 
I1 - 2022-08-04 17:24:44,386 - INFO 
O0 - 2022-08-04 17:24:44,386 - INFO 
O1 - 2022-08-04 17:24:44,386 - INFO 
Status - 2022-08-04 17:24:45,401 - INFO 
I0 - 2022-08-04 17:24:45,401 - INFO 
I1 - 2022-08-04 17:24:45,401 - INFO 
O0 - 2022-08-04 17:24:45,401 - INFO 
O1 - 2022-08-04 17:24:45,401 - INFO 
Status - 2022-08-04 17:24:46,417 - INFO 
I0 - 2022-08-04 17:24:46,417 - INFO 
I1 - 2022-08-04 17:24:46,417 - INFO 
O0 - 2022-08-04 17:24:46,417 - INFO 
O1 - 2022-08-04 17:24:46,418 - INFO 
Status - 2022-08-04 17:24:47,432 - INFO 
I0 - 2022-08-04 17:24:47,432 - INFO 
I1 - 2022-08-04 17:24:47,432 - INFO 
O0 - 2022-08-04 17:24:47,433 - INFO 
O1 - 2022-08-04 17:24:47,433 - INFO 
Status - 2022-08-04 17:24:48,434 - INFO 
I0 - 2022-08-04 17:24:48,435 - INFO 
I1 - 2022-08-04 17:24:48,435 - INFO 
O0 - 2022-08-04 17:24:48,435 - INFO 
O1 - 2022-08-04 17:24:48,435 - INFO 
Status - 2022-08-04 17:24:49,435 - INFO 
I0 - 2022-08-04 17:24:49,436 - INFO 
I1 - 2022-08-04 17:24:49,436 - INFO 
O0 - 2022-08-04 17:24:49,436 - INFO 
O1 - 2022-08-04 17:24:49,436 - INFO 
Status - 2022-08-04 17:24:50,443 - INFO 
I0 - 2022-08-04 17:24:50,443 - INFO 
I1 - 2022-08-04 17:24:50,443 - INFO 
O0 - 2022-08-04 17:24:50,443 - INFO 
O1 - 2022-08-04 17:24:50,443 - INFO 
Status - 2022-08-04 17:24:51,447 - INFO 
I0 - 2022-08-04 17:24:51,447 - INFO 
I1 - 2022-08-04 17:24:51,447 - INFO 
O0 - 2022-08-04 17:24:51,447 - INFO 
O1 - 2022-08-04 17:24:51,447 - INFO 
Status - 2022-08-04 17:24:52,453 - INFO 
I0 - 2022-08-04 17:24:52,453 - INFO 
I1 - 2022-08-04 17:24:52,453 - INFO 
O0 - 2022-08-04 17:24:52,454 - INFO 
O1 - 2022-08-04 17:24:52,454 - INFO 
Status - 2022-08-04 17:24:53,464 - INFO 
I0 - 2022-08-04 17:24:53,464 - INFO 
I1 - 2022-08-04 17:24:53,464 - INFO 
O0 - 2022-08-04 17:24:53,464 - INFO 
O1 - 2022-08-04 17:24:53,464 - INFO 
Status - 2022-08-04 17:24:54,476 - INFO 
I0 - 2022-08-04 17:24:54,476 - INFO 
I1 - 2022-08-04 17:24:54,476 - INFO 
O0 - 2022-08-04 17:24:54,476 - INFO 
O1 - 2022-08-04 17:24:54,476 - INFO 
Status - 2022-08-04 17:24:55,486 - INFO 
I0 - 2022-08-04 17:24:55,487 - INFO 
I1 - 2022-08-04 17:24:55,487 - INFO 
O0 - 2022-08-04 17:24:55,487 - INFO 
O1 - 2022-08-04 17:24:55,487 - INFO 
Status - 2022-08-04 17:24:56,501 - INFO 
I0 - 2022-08-04 17:24:56,501 - INFO 
I1 - 2022-08-04 17:24:56,501 - INFO 
O0 - 2022-08-04 17:24:56,501 - INFO 
O1 - 2022-08-04 17:24:56,501 - INFO 
Status - 2022-08-04 17:24:57,513 - INFO 
I0 - 2022-08-04 17:24:57,513 - INFO 
I1 - 2022-08-04 17:24:57,513 - INFO 
O0 - 2022-08-04 17:24:57,513 - INFO 
O1 - 2022-08-04 17:24:57,513 - INFO 
Status - 2022-08-04 17:24:58,526 - INFO 
I0 - 2022-08-04 17:24:58,526 - INFO 
I1 - 2022-08-04 17:24:58,526 - INFO 
O0 - 2022-08-04 17:24:58,526 - INFO 
O1 - 2022-08-04 17:24:58,526 - INFO 
Status - 2022-08-04 17:24:59,538 - INFO 
I0 - 2022-08-04 17:24:59,538 - INFO 
I1 - 2022-08-04 17:24:59,538 - INFO 
O0 - 2022-08-04 17:24:59,538 - INFO 
O1 - 2022-08-04 17:24:59,539 - INFO 
Status - 2022-08-04 17:25:00,552 - INFO 
I0 - 2022-08-04 17:25:00,552 - INFO 
I1 - 2022-08-04 17:25:00,552 - INFO 
O0 - 2022-08-04 17:25:00,552 - INFO 
O1 - 2022-08-04 17:25:00,552 - INFO 
Status - 2022-08-04 17:25:01,563 - INFO 
I0 - 2022-08-04 17:25:01,563 - INFO 
I1 - 2022-08-04 17:25:01,563 - INFO 
O0 - 2022-08-04 17:25:01,563 - INFO 
O1 - 2022-08-04 17:25:01,563 - INFO 
Status - 2022-08-04 17:25:02,577 - INFO 
I0 - 2022-08-04 17:25:02,577 - INFO 
I1 - 2022-08-04 17:25:02,577 - INFO 
O0 - 2022-08-04 17:25:02,578 - INFO 
O1 - 2022-08-04 17:25:02,578 - INFO 
Status - 2022-08-04 17:25:03,593 - INFO 
I0 - 2022-08-04 17:25:03,593 - INFO 
I1 - 2022-08-04 17:25:03,593 - INFO 
O0 - 2022-08-04 17:25:03,593 - INFO 
O1 - 2022-08-04 17:25:03,593 - INFO 
Status - 2022-08-04 17:25:04,600 - INFO 
I0 - 2022-08-04 17:25:04,601 - INFO 
I1 - 2022-08-04 17:25:04,601 - INFO 
O0 - 2022-08-04 17:25:04,601 - INFO 
O1 - 2022-08-04 17:25:04,601 - INFO 
Status - 2022-08-04 17:25:05,613 - INFO 
I0 - 2022-08-04 17:25:05,613 - INFO 
I1 - 2022-08-04 17:25:05,613 - INFO 
O0 - 2022-08-04 17:25:05,614 - INFO 
O1 - 2022-08-04 17:25:05,614 - INFO 
Status - 2022-08-04 17:25:06,622 - INFO 
I0 - 2022-08-04 17:25:06,622 - INFO 
I1 - 2022-08-04 17:25:06,622 - INFO 
O0 - 2022-08-04 17:25:06,622 - INFO 
O1 - 2022-08-04 17:25:06,624 - INFO 
Status - 2022-08-04 17:25:07,636 - INFO 
I0 - 2022-08-04 17:25:07,636 - INFO 
I1 - 2022-08-04 17:25:07,636 - INFO 
O0 - 2022-08-04 17:25:07,636 - INFO 
O1 - 2022-08-04 17:25:07,636 - INFO 
Status - 2022-08-04 17:25:08,638 - INFO 
I0 - 2022-08-04 17:25:08,639 - INFO 
I1 - 2022-08-04 17:25:08,639 - INFO 
O0 - 2022-08-04 17:25:08,639 - INFO 
O1 - 2022-08-04 17:25:08,639 - INFO 
Status - 2022-08-04 17:25:09,649 - INFO 
I0 - 2022-08-04 17:25:09,650 - INFO 
I1 - 2022-08-04 17:25:09,650 - INFO 
O0 - 2022-08-04 17:25:09,650 - INFO 
O1 - 2022-08-04 17:25:09,650 - INFO 
Status - 2022-08-04 17:25:10,663 - INFO 
I0 - 2022-08-04 17:25:10,663 - INFO 
I1 - 2022-08-04 17:25:10,663 - INFO 
O0 - 2022-08-04 17:25:10,663 - INFO 
O1 - 2022-08-04 17:25:10,663 - INFO 
Status - 2022-08-04 17:25:11,666 - INFO 
I0 - 2022-08-04 17:25:11,666 - INFO 
I1 - 2022-08-04 17:25:11,666 - INFO 
O0 - 2022-08-04 17:25:11,666 - INFO 
O1 - 2022-08-04 17:25:11,666 - INFO 
Status - 2022-08-04 17:25:12,679 - INFO 
I0 - 2022-08-04 17:25:12,679 - INFO 
I1 - 2022-08-04 17:25:12,679 - INFO 
O0 - 2022-08-04 17:25:12,679 - INFO 
O1 - 2022-08-04 17:25:12,679 - INFO 
Status - 2022-08-04 17:25:13,693 - INFO 
I0 - 2022-08-04 17:25:13,694 - INFO 
I1 - 2022-08-04 17:25:13,694 - INFO 
O0 - 2022-08-04 17:25:13,694 - INFO 
O1 - 2022-08-04 17:25:13,694 - INFO 
Status - 2022-08-04 17:25:14,702 - INFO 
I0 - 2022-08-04 17:25:14,703 - INFO 
I1 - 2022-08-04 17:25:14,703 - INFO 
O0 - 2022-08-04 17:25:14,703 - INFO 
O1 - 2022-08-04 17:25:14,703 - INFO 
Status - 2022-08-04 17:25:15,714 - INFO 
I0 - 2022-08-04 17:25:15,714 - INFO 
I1 - 2022-08-04 17:25:15,714 - INFO 
O0 - 2022-08-04 17:25:15,714 - INFO 
O1 - 2022-08-04 17:25:15,714 - INFO 
Status - 2022-08-04 17:25:16,718 - INFO 
I0 - 2022-08-04 17:25:16,718 - INFO 
I1 - 2022-08-04 17:25:16,718 - INFO 
O0 - 2022-08-04 17:25:16,718 - INFO 
O1 - 2022-08-04 17:25:16,718 - INFO 
Status - 2022-08-04 17:25:17,719 - INFO 
I0 - 2022-08-04 17:25:17,719 - INFO 
I1 - 2022-08-04 17:25:17,719 - INFO 
O0 - 2022-08-04 17:25:17,719 - INFO 
O1 - 2022-08-04 17:25:17,719 - INFO 
Status - 2022-08-04 17:25:18,722 - INFO 
I0 - 2022-08-04 17:25:18,722 - INFO 
I1 - 2022-08-04 17:25:18,722 - INFO 
O0 - 2022-08-04 17:25:18,722 - INFO 
O1 - 2022-08-04 17:25:18,722 - INFO 
Status - 2022-08-04 17:25:19,728 - INFO 
I0 - 2022-08-04 17:25:19,728 - INFO 
I1 - 2022-08-04 17:25:19,728 - INFO 
O0 - 2022-08-04 17:25:19,728 - INFO 
O1 - 2022-08-04 17:25:19,729 - INFO 
Status - 2022-08-04 17:25:20,743 - INFO 
I0 - 2022-08-04 17:25:20,743 - INFO 
I1 - 2022-08-04 17:25:20,743 - INFO 
O0 - 2022-08-04 17:25:20,743 - INFO 
O1 - 2022-08-04 17:25:20,743 - INFO 
Status - 2022-08-04 17:25:21,748 - INFO 
I0 - 2022-08-04 17:25:21,749 - INFO 
I1 - 2022-08-04 17:25:21,749 - INFO 
O0 - 2022-08-04 17:25:21,749 - INFO 
O1 - 2022-08-04 17:25:21,749 - INFO 
Status - 2022-08-04 17:25:22,761 - INFO 
I0 - 2022-08-04 17:25:22,761 - INFO 
I1 - 2022-08-04 17:25:22,761 - INFO 
O0 - 2022-08-04 17:25:22,761 - INFO 
O1 - 2022-08-04 17:25:22,761 - INFO 
Status - 2022-08-04 17:25:23,772 - INFO 
I0 - 2022-08-04 17:25:23,772 - INFO 
I1 - 2022-08-04 17:25:23,772 - INFO 
O0 - 2022-08-04 17:25:23,772 - INFO 
O1 - 2022-08-04 17:25:23,772 - INFO 
Status - 2022-08-04 17:25:24,784 - INFO 
I0 - 2022-08-04 17:25:24,784 - INFO 
I1 - 2022-08-04 17:25:24,785 - INFO 
O0 - 2022-08-04 17:25:24,785 - INFO 
O1 - 2022-08-04 17:25:24,785 - INFO 
Status - 2022-08-04 17:25:25,795 - INFO 
I0 - 2022-08-04 17:25:25,795 - INFO 
I1 - 2022-08-04 17:25:25,795 - INFO 
O0 - 2022-08-04 17:25:25,795 - INFO 
O1 - 2022-08-04 17:25:25,795 - INFO 
Status - 2022-08-04 17:25:26,804 - INFO 
I0 - 2022-08-04 17:25:26,804 - INFO 
I1 - 2022-08-04 17:25:26,804 - INFO 
O0 - 2022-08-04 17:25:26,804 - INFO 
O1 - 2022-08-04 17:25:26,804 - INFO 
Status - 2022-08-04 17:25:27,817 - INFO 
I0 - 2022-08-04 17:25:27,817 - INFO 
I1 - 2022-08-04 17:25:27,817 - INFO 
O0 - 2022-08-04 17:25:27,818 - INFO 
O1 - 2022-08-04 17:25:27,818 - INFO 
Status - 2022-08-04 17:25:28,830 - INFO 
I0 - 2022-08-04 17:25:28,830 - INFO 
I1 - 2022-08-04 17:25:28,830 - INFO 
O0 - 2022-08-04 17:25:28,830 - INFO 
O1 - 2022-08-04 17:25:28,830 - INFO 
Status - 2022-08-04 17:25:29,842 - INFO 
I0 - 2022-08-04 17:25:29,842 - INFO 
I1 - 2022-08-04 17:25:29,842 - INFO 
O0 - 2022-08-04 17:25:29,842 - INFO 
O1 - 2022-08-04 17:25:29,842 - INFO 
Status - 2022-08-04 17:25:30,853 - INFO 
I0 - 2022-08-04 17:25:30,854 - INFO 
I1 - 2022-08-04 17:25:30,854 - INFO 
O0 - 2022-08-04 17:25:30,854 - INFO 
O1 - 2022-08-04 17:25:30,854 - INFO 
Status - 2022-08-04 17:25:31,868 - INFO 
I0 - 2022-08-04 17:25:31,868 - INFO 
I1 - 2022-08-04 17:25:31,868 - INFO 
